,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,MALLAT,FacesUCR,FaceAll,Phoneme,OliveOil,Gun_Point,ProximalPhalanxTW,ShapesAll,Lighting7,MedicalImages,Strawberry,Meat,ProximalPhalanxOutlineCorrect,Worms,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,Cricket_X,CBF,uWaveGestureLibrary_Y,UWaveGestureLibraryAll,MiddlePhalanxTW,CinC_ECG_torso,Cricket_Z,Lighting2,ElectricDevices,DistalPhalanxTW,WormsTwoClass,InsectWingbeatSound,uWaveGestureLibrary_X,synthetic_control,wafer,ECG5000,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Cricket_Y,RefrigerationDevices,Ham,DistalPhalanxOutlineCorrect,Beef,SonyAIBORobotSurfaceII,ArrowHead,Earthquakes,Symbols,Computers,Coffee,Wine,InlineSkate,MoteStrain,ScreenType,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,FordA,SmallKitchenAppliances,HandOutlines,Two_Patterns,ToeSegmentation2,TwoLeadECG,FordB,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,yoga,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,NonInvasiveFatalECG_Thorax2,FaceFour,NonInvasiveFatalECG_Thorax1
Adiac,ShapesAll,Car,Phoneme,OSULeaf,SwedishLeaf,Haptics,FISH,DiatomSizeReduction,BirdChicken,BeetleFly,RefrigerationDevices,Symbols,Herring,synthetic_control,ShapeletSim,Earthquakes,Plane,Cricket_Z,yoga,ToeSegmentation2,wafer,NonInvasiveFatalECG_Thorax2,ToeSegmentation1,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Cricket_X,Trace,Cricket_Y,FacesUCR,uWaveGestureLibrary_X,FaceFour,Worms,uWaveGestureLibrary_Z,SmallKitchenAppliances,MoteStrain,NonInvasiveFatalECG_Thorax1,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,InlineSkate,CinC_ECG_torso,Two_Patterns,FordB,TwoLeadECG,InsectWingbeatSound,FordA,ItalyPowerDemand,ECGFiveDays,DistalPhalanxTW,LargeKitchenAppliances,FaceAll,ECG5000,MedicalImages,DistalPhalanxOutlineAgeGroup,50words,ScreenType,Computers,WordsSynonyms,ProximalPhalanxTW,Lighting7,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,FacesUCR,Wine,Coffee,Phoneme,50words,WordsSynonyms,Meat,HandOutlines,ECG5000,FaceAll,uWaveGestureLibrary_Y,MedicalImages,WormsTwoClass,MALLAT,Worms,OliveOil,Lighting7,ProximalPhalanxTW,Strawberry,ShapesAll,synthetic_control,MiddlePhalanxTW,CBF,Cricket_X,DistalPhalanxTW,Gun_Point,ProximalPhalanxOutlineAgeGroup,Cricket_Y,InsectWingbeatSound,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,Cricket_Z,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,ElectricDevices,UWaveGestureLibraryAll,Lighting2,uWaveGestureLibrary_Z,MiddlePhalanxOutlineCorrect,ScreenType,InlineSkate,Ham,DistalPhalanxOutlineCorrect,Symbols,LargeKitchenAppliances,RefrigerationDevices,Computers,Two_Patterns,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,FordA,SonyAIBORobotSurfaceII,wafer,TwoLeadECG,FordB,MoteStrain,Trace,ECG200,SonyAIBORobotSurface,ToeSegmentation1,OSULeaf,ToeSegmentation2,Adiac,Earthquakes,SwedishLeaf,DiatomSizeReduction,Car,ShapeletSim,yoga,FISH,BirdChicken,BeetleFly,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Beef,FacesUCR,ArrowHead,Coffee,Wine,Phoneme,50words,WordsSynonyms,Meat,ECG5000,HandOutlines,FaceAll,WormsTwoClass,uWaveGestureLibrary_Y,MALLAT,MedicalImages,OliveOil,Strawberry,Lighting7,Worms,ShapesAll,ProximalPhalanxTW,Gun_Point,synthetic_control,Cricket_X,MiddlePhalanxTW,CBF,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxTW,ProximalPhalanxOutlineCorrect,InsectWingbeatSound,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_X,Cricket_Z,Cricket_Y,DistalPhalanxOutlineAgeGroup,Lighting2,MiddlePhalanxOutlineCorrect,CinC_ECG_torso,ElectricDevices,Ham,UWaveGestureLibraryAll,ScreenType,InlineSkate,DistalPhalanxOutlineCorrect,uWaveGestureLibrary_Z,LargeKitchenAppliances,Symbols,Computers,RefrigerationDevices,Two_Patterns,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,FordA,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,Trace,SonyAIBORobotSurface,ECG200,MoteStrain,wafer,ToeSegmentation1,ToeSegmentation2,OSULeaf,Adiac,SwedishLeaf,Car,DiatomSizeReduction,yoga,ShapeletSim,Earthquakes,FISH,BirdChicken,BeetleFly,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
BeetleFly,Adiac,SwedishLeaf,FISH,Trace,Cricket_Z,Cricket_X,OSULeaf,Phoneme,DiatomSizeReduction,Cricket_Y,Symbols,Car,synthetic_control,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,ShapeletSim,Plane,Worms,uWaveGestureLibrary_X,yoga,ElectricDevices,RefrigerationDevices,SmallKitchenAppliances,Two_Patterns,FaceFour,NonInvasiveFatalECG_Thorax2,InlineSkate,ToeSegmentation2,FacesUCR,DistalPhalanxTW,FaceAll,InsectWingbeatSound,ToeSegmentation1,NonInvasiveFatalECG_Thorax1,SonyAIBORobotSurface,ECG200,CinC_ECG_torso,MoteStrain,MiddlePhalanxTW,MedicalImages,LargeKitchenAppliances,ProximalPhalanxTW,Lighting7,WordsSynonyms,FordB,TwoLeadECG,50words,SonyAIBORobotSurfaceII,wafer,ScreenType,MALLAT,FordA,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ECGFiveDays,OliveOil,ItalyPowerDemand,ECG5000,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,CBF,Computers,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Beef,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Meat,Gun_Point,Strawberry,ArrowHead,WormsTwoClass,Coffee,Wine,Haptics,HandOutlines,ShapesAll,BirdChicken,Herring
BirdChicken,Adiac,Cricket_X,Cricket_Z,Phoneme,Car,Trace,synthetic_control,uWaveGestureLibrary_Y,Cricket_Y,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,Worms,UWaveGestureLibraryAll,ElectricDevices,Symbols,yoga,SmallKitchenAppliances,ShapeletSim,FacesUCR,Plane,InlineSkate,Two_Patterns,CinC_ECG_torso,ToeSegmentation2,ToeSegmentation1,SonyAIBORobotSurface,ECG200,LargeKitchenAppliances,MoteStrain,DistalPhalanxTW,FaceAll,RefrigerationDevices,InsectWingbeatSound,ScreenType,FordB,TwoLeadECG,ECG5000,SonyAIBORobotSurfaceII,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,FordA,MedicalImages,Lighting7,wafer,NonInvasiveFatalECG_Thorax2,MiddlePhalanxOutlineAgeGroup,NonInvasiveFatalECG_Thorax1,ProximalPhalanxOutlineAgeGroup,ECGFiveDays,ChlorineConcentration,ItalyPowerDemand,CBF,50words,FaceFour,WordsSynonyms,Computers,MALLAT,OliveOil,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Meat,Gun_Point,Strawberry,Beef,ArrowHead,WormsTwoClass,Coffee,Wine,HandOutlines,Haptics,ShapesAll,BeetleFly,Herring
CBF,50words,InsectWingbeatSound,MedicalImages,Lighting7,WordsSynonyms,Phoneme,MiddlePhalanxTW,Cricket_X,ProximalPhalanxTW,MiddlePhalanxOutlineAgeGroup,MALLAT,ChlorineConcentration,FaceAll,ShapesAll,uWaveGestureLibrary_X,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,OliveOil,Ham,uWaveGestureLibrary_Y,MiddlePhalanxOutlineCorrect,Cricket_Z,Lighting2,ScreenType,InlineSkate,PhalangesOutlinesCorrect,ElectricDevices,ProximalPhalanxOutlineCorrect,FacesUCR,DistalPhalanxOutlineCorrect,Cricket_Y,UWaveGestureLibraryAll,Gun_Point,ECG5000,CinC_ECG_torso,LargeKitchenAppliances,Symbols,uWaveGestureLibrary_Z,Computers,RefrigerationDevices,Strawberry,synthetic_control,Worms,ItalyPowerDemand,ECGFiveDays,SmallKitchenAppliances,WormsTwoClass,Meat,FordA,SonyAIBORobotSurfaceII,TwoLeadECG,FordB,Beef,MoteStrain,ECG200,SonyAIBORobotSurface,Trace,ArrowHead,ToeSegmentation1,wafer,Coffee,Wine,ToeSegmentation2,OSULeaf,Earthquakes,Adiac,HandOutlines,ShapeletSim,DiatomSizeReduction,yoga,Car,BirdChicken,BeetleFly,FISH,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Two_Patterns
Car,Adiac,ShapesAll,Phoneme,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Symbols,Herring,yoga,synthetic_control,Cricket_Z,BirdChicken,Plane,BeetleFly,ShapeletSim,Cricket_X,Trace,uWaveGestureLibrary_Y,Cricket_Y,FaceFour,uWaveGestureLibrary_Z,NonInvasiveFatalECG_Thorax2,UWaveGestureLibraryAll,uWaveGestureLibrary_X,ElectricDevices,Worms,NonInvasiveFatalECG_Thorax1,RefrigerationDevices,SmallKitchenAppliances,ToeSegmentation2,SonyAIBORobotSurface,Two_Patterns,InlineSkate,ECG200,ToeSegmentation1,FacesUCR,CinC_ECG_torso,Earthquakes,LargeKitchenAppliances,DistalPhalanxTW,FordB,TwoLeadECG,FaceAll,InsectWingbeatSound,MoteStrain,ScreenType,FordA,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,ECG5000,MiddlePhalanxTW,SonyAIBORobotSurfaceII,MedicalImages,Lighting7,ECGFiveDays,ItalyPowerDemand,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,wafer,WordsSynonyms,CBF,50words,Computers,MALLAT,DistalPhalanxOutlineCorrect,OliveOil,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,Meat,Strawberry,Beef,WormsTwoClass,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,MedicalImages,MiddlePhalanxTW,Ham,Cricket_X,50words,MiddlePhalanxOutlineAgeGroup,Lighting7,WordsSynonyms,ProximalPhalanxTW,InsectWingbeatSound,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Phoneme,CBF,FaceAll,DistalPhalanxOutlineAgeGroup,Lighting2,DistalPhalanxOutlineCorrect,ShapesAll,uWaveGestureLibrary_X,Cricket_Z,DistalPhalanxTW,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,uWaveGestureLibrary_Y,RefrigerationDevices,ScreenType,ElectricDevices,FacesUCR,Computers,InlineSkate,OliveOil,UWaveGestureLibraryAll,Cricket_Y,Gun_Point,ECG5000,CinC_ECG_torso,Symbols,uWaveGestureLibrary_Z,LargeKitchenAppliances,ItalyPowerDemand,synthetic_control,ECGFiveDays,Strawberry,Worms,Two_Patterns,FordA,SmallKitchenAppliances,SonyAIBORobotSurfaceII,WormsTwoClass,Meat,TwoLeadECG,FordB,MoteStrain,ECG200,SonyAIBORobotSurface,Beef,ToeSegmentation1,ArrowHead,Trace,wafer,ToeSegmentation2,Coffee,Wine,OSULeaf,Earthquakes,Adiac,HandOutlines,ShapeletSim,SwedishLeaf,yoga,BirdChicken,DiatomSizeReduction,BeetleFly,Car,FISH,Plane,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
CinC_ECG_torso,50words,Phoneme,InlineSkate,Cricket_Y,ElectricDevices,MALLAT,WordsSynonyms,uWaveGestureLibrary_X,FaceAll,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,LargeKitchenAppliances,Two_Patterns,DistalPhalanxTW,ShapesAll,Cricket_Z,Cricket_X,InsectWingbeatSound,uWaveGestureLibrary_Y,SmallKitchenAppliances,ScreenType,Symbols,Lighting7,ProximalPhalanxTW,FacesUCR,MedicalImages,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,Worms,ECG5000,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,FordA,ProximalPhalanxOutlineAgeGroup,CBF,ECGFiveDays,ItalyPowerDemand,Computers,TwoLeadECG,OliveOil,FordB,RefrigerationDevices,synthetic_control,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Trace,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ECG200,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,Gun_Point,MoteStrain,Strawberry,ToeSegmentation1,Meat,OSULeaf,Adiac,WormsTwoClass,ToeSegmentation2,Beef,wafer,SwedishLeaf,Car,DiatomSizeReduction,ArrowHead,ShapeletSim,yoga,FISH,Coffee,Earthquakes,Wine,BirdChicken,BeetleFly,Plane,HandOutlines,Herring,FaceFour,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
