,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,Phoneme,ShapesAll,FaceAll,InsectWingbeatSound,MedicalImages,FacesUCR,Cricket_X,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,MiddlePhalanxTW,InlineSkate,MALLAT,uWaveGestureLibrary_Y,ProximalPhalanxTW,Adiac,DistalPhalanxTW,UWaveGestureLibraryAll,ElectricDevices,uWaveGestureLibrary_Z,Beef,ECG5000,synthetic_control,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,Worms,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,ScreenType,OliveOil,ProximalPhalanxOutlineAgeGroup,CBF,Two_Patterns,LargeKitchenAppliances,ArrowHead,Symbols,Meat,Ham,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,SmallKitchenAppliances,RefrigerationDevices,Computers,Trace,Lighting2,PhalangesOutlinesCorrect,ECGFiveDays,ItalyPowerDemand,Coffee,ProximalPhalanxOutlineCorrect,Wine,SonyAIBORobotSurfaceII,WormsTwoClass,FordA,HandOutlines,Strawberry,MoteStrain,Gun_Point,SwedishLeaf,ToeSegmentation1,OSULeaf,TwoLeadECG,FordB,SonyAIBORobotSurface,ECG200,wafer,ToeSegmentation2,Earthquakes,ShapeletSim,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring,FaceFour
Adiac,ShapesAll,NonInvasiveFatalECG_Thorax2,Phoneme,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,SwedishLeaf,Plane,uWaveGestureLibrary_Z,Cricket_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Trace,ElectricDevices,uWaveGestureLibrary_X,InlineSkate,synthetic_control,FaceFour,Symbols,FISH,OSULeaf,Two_Patterns,Worms,InsectWingbeatSound,SmallKitchenAppliances,SonyAIBORobotSurface,FaceAll,CinC_ECG_torso,ECG200,DistalPhalanxTW,FordB,TwoLeadECG,yoga,FacesUCR,DiatomSizeReduction,ShapeletSim,LargeKitchenAppliances,ToeSegmentation2,ToeSegmentation1,BeetleFly,MoteStrain,FordA,BirdChicken,SonyAIBORobotSurfaceII,MedicalImages,Car,ECGFiveDays,ScreenType,ItalyPowerDemand,Herring,RefrigerationDevices,ECG5000,wafer,MiddlePhalanxTW,50words,ProximalPhalanxTW,Earthquakes,Lighting7,DistalPhalanxOutlineAgeGroup,WordsSynonyms,Computers,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,Haptics,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,50words,WordsSynonyms,Phoneme,FaceAll,ShapesAll,MALLAT,FacesUCR,MedicalImages,InsectWingbeatSound,Cricket_X,Lighting7,ProximalPhalanxTW,OliveOil,MiddlePhalanxTW,Cricket_Y,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Cricket_Z,DistalPhalanxTW,UWaveGestureLibraryAll,ElectricDevices,InlineSkate,uWaveGestureLibrary_Z,ECG5000,Meat,CBF,Worms,ProximalPhalanxOutlineAgeGroup,Strawberry,ChlorineConcentration,CinC_ECG_torso,synthetic_control,Gun_Point,MiddlePhalanxOutlineAgeGroup,WormsTwoClass,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Lighting2,Adiac,MiddlePhalanxOutlineCorrect,ScreenType,Ham,HandOutlines,Beef,DistalPhalanxOutlineCorrect,wafer,LargeKitchenAppliances,Symbols,Two_Patterns,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,Trace,MoteStrain,FordA,Earthquakes,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,SwedishLeaf,Coffee,Wine,ShapeletSim,yoga,Car,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring
Beef,50words,WordsSynonyms,Phoneme,FaceAll,ShapesAll,MALLAT,FacesUCR,MedicalImages,InsectWingbeatSound,Cricket_X,Lighting7,ProximalPhalanxTW,MiddlePhalanxTW,OliveOil,Cricket_Y,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Cricket_Z,DistalPhalanxTW,UWaveGestureLibraryAll,ElectricDevices,InlineSkate,uWaveGestureLibrary_Z,Worms,CBF,ProximalPhalanxOutlineAgeGroup,ECG5000,ChlorineConcentration,CinC_ECG_torso,Strawberry,Meat,Gun_Point,MiddlePhalanxOutlineAgeGroup,synthetic_control,DistalPhalanxOutlineAgeGroup,WormsTwoClass,ProximalPhalanxOutlineCorrect,HandOutlines,PhalangesOutlinesCorrect,Adiac,Lighting2,ScreenType,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Two_Patterns,Symbols,wafer,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,ArrowHead,Trace,MoteStrain,FordA,Earthquakes,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,SwedishLeaf,Wine,ShapeletSim,Coffee,yoga,Car,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring
BeetleFly,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Y,Cricket_Z,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,InlineSkate,ElectricDevices,uWaveGestureLibrary_X,Plane,InsectWingbeatSound,50words,uWaveGestureLibrary_Y,Two_Patterns,FaceAll,OSULeaf,Symbols,synthetic_control,DistalPhalanxTW,WordsSynonyms,Worms,FISH,Trace,CinC_ECG_torso,MedicalImages,SmallKitchenAppliances,Car,FaceFour,LargeKitchenAppliances,DiatomSizeReduction,FordB,TwoLeadECG,ECG200,SonyAIBORobotSurface,FacesUCR,FordA,MiddlePhalanxTW,ToeSegmentation2,yoga,ProximalPhalanxTW,Lighting7,ScreenType,ToeSegmentation1,ShapeletSim,ECGFiveDays,ItalyPowerDemand,ECG5000,RefrigerationDevices,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,MoteStrain,Computers,wafer,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,MALLAT,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,CBF,Ham,Haptics,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,ShapesAll,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines,BirdChicken,Earthquakes
BirdChicken,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Y,SwedishLeaf,Cricket_Z,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,InlineSkate,ElectricDevices,InsectWingbeatSound,uWaveGestureLibrary_X,Plane,50words,OSULeaf,Two_Patterns,uWaveGestureLibrary_Y,Symbols,FaceAll,FISH,synthetic_control,DistalPhalanxTW,Worms,WordsSynonyms,Trace,CinC_ECG_torso,MedicalImages,SmallKitchenAppliances,DiatomSizeReduction,Car,FaceFour,FordB,TwoLeadECG,LargeKitchenAppliances,SonyAIBORobotSurface,ECG200,MiddlePhalanxTW,FordA,FacesUCR,ProximalPhalanxTW,Lighting7,ScreenType,ToeSegmentation2,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,yoga,ShapeletSim,ECG5000,ToeSegmentation1,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,MoteStrain,Computers,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,MALLAT,wafer,DistalPhalanxOutlineCorrect,CBF,Ham,MiddlePhalanxOutlineCorrect,Haptics,Lighting2,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,WormsTwoClass,ShapesAll,Beef,ArrowHead,Coffee,Wine,HandOutlines,Herring,BeetleFly
CBF,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,FacesUCR,InsectWingbeatSound,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,uWaveGestureLibrary_X,MALLAT,InlineSkate,UWaveGestureLibraryAll,ElectricDevices,Lighting7,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,DistalPhalanxTW,ProximalPhalanxTW,MiddlePhalanxTW,Adiac,CinC_ECG_torso,ECG5000,Beef,synthetic_control,ScreenType,LargeKitchenAppliances,Worms,OliveOil,DistalPhalanxOutlineAgeGroup,Meat,ChlorineConcentration,Symbols,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,SmallKitchenAppliances,Trace,PhalangesOutlinesCorrect,ECGFiveDays,RefrigerationDevices,Computers,WormsTwoClass,Lighting2,FordA,ProximalPhalanxOutlineCorrect,ItalyPowerDemand,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,ArrowHead,Strawberry,Gun_Point,TwoLeadECG,FordB,ToeSegmentation1,SonyAIBORobotSurfaceII,MoteStrain,SonyAIBORobotSurface,ECG200,OSULeaf,ToeSegmentation2,Coffee,wafer,Wine,HandOutlines,ShapeletSim,Earthquakes,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,Plane,NonInvasiveFatalECG_Thorax2,FISH,NonInvasiveFatalECG_Thorax1,Haptics,FaceFour,Herring,Two_Patterns
Car,ShapesAll,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Adiac,Cricket_Z,Cricket_Y,SwedishLeaf,Plane,uWaveGestureLibrary_Z,Cricket_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,ElectricDevices,Trace,uWaveGestureLibrary_X,InlineSkate,FISH,Symbols,synthetic_control,FaceFour,Two_Patterns,OSULeaf,Worms,InsectWingbeatSound,SmallKitchenAppliances,FaceAll,CinC_ECG_torso,SonyAIBORobotSurface,DistalPhalanxTW,ECG200,FordB,TwoLeadECG,LargeKitchenAppliances,FacesUCR,yoga,DiatomSizeReduction,ShapeletSim,BeetleFly,ToeSegmentation2,ToeSegmentation1,FordA,MoteStrain,BirdChicken,MedicalImages,SonyAIBORobotSurfaceII,Herring,ECGFiveDays,ScreenType,RefrigerationDevices,ItalyPowerDemand,ECG5000,MiddlePhalanxTW,Earthquakes,ProximalPhalanxTW,wafer,DistalPhalanxOutlineAgeGroup,50words,Lighting7,Computers,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,Haptics,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ChlorineConcentration,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,InsectWingbeatSound,FacesUCR,MALLAT,Cricket_Y,Cricket_X,uWaveGestureLibrary_X,InlineSkate,Cricket_Z,UWaveGestureLibraryAll,ElectricDevices,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,Lighting7,DistalPhalanxTW,MedicalImages,ProximalPhalanxTW,OliveOil,Adiac,MiddlePhalanxTW,CinC_ECG_torso,ScreenType,ECG5000,Worms,Two_Patterns,LargeKitchenAppliances,Beef,synthetic_control,Symbols,DistalPhalanxOutlineAgeGroup,CBF,ProximalPhalanxOutlineAgeGroup,Gun_Point,SmallKitchenAppliances,Computers,Meat,ECGFiveDays,Strawberry,PhalangesOutlinesCorrect,ItalyPowerDemand,ProximalPhalanxOutlineCorrect,Trace,FordA,MiddlePhalanxOutlineAgeGroup,WormsTwoClass,MoteStrain,FordB,TwoLeadECG,ArrowHead,ToeSegmentation1,ECG200,RefrigerationDevices,Lighting2,SonyAIBORobotSurface,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,wafer,OSULeaf,ToeSegmentation2,SonyAIBORobotSurfaceII,SwedishLeaf,Coffee,Wine,Earthquakes,ShapeletSim,Ham,HandOutlines,Car,yoga,BirdChicken,DiatomSizeReduction,BeetleFly,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring
CinC_ECG_torso,50words,ShapesAll,Phoneme,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,MedicalImages,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,MiddlePhalanxTW,FacesUCR,ProximalPhalanxTW,InlineSkate,ElectricDevices,DistalPhalanxTW,MALLAT,Adiac,synthetic_control,Trace,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Worms,Two_Patterns,ScreenType,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,Symbols,CBF,ECG5000,SmallKitchenAppliances,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Ham,MiddlePhalanxOutlineCorrect,OliveOil,SonyAIBORobotSurfaceII,Lighting2,Computers,MoteStrain,RefrigerationDevices,PhalangesOutlinesCorrect,ItalyPowerDemand,SonyAIBORobotSurface,ECGFiveDays,ProximalPhalanxOutlineCorrect,ECG200,FordA,Beef,FordB,TwoLeadECG,ToeSegmentation1,Meat,OSULeaf,Earthquakes,Gun_Point,ShapeletSim,ToeSegmentation2,SwedishLeaf,Strawberry,WormsTwoClass,wafer,BeetleFly,yoga,BirdChicken,ArrowHead,Car,Coffee,Wine,DiatomSizeReduction,Plane,HandOutlines,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring
