,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61
50words,FaceAll,OliveOil,ShapesAll,Lighting7,Gun_Point,ProximalPhalanxTW,MedicalImages,ProximalPhalanxOutlineCorrect,Meat,Strawberry,Worms,ProximalPhalanxOutlineAgeGroup,Cricket_X,CBF,Cricket_Z,MiddlePhalanxTW,Lighting2,WormsTwoClass,DistalPhalanxTW,synthetic_control,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Cricket_Y,Ham,RefrigerationDevices,Beef,DistalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,ArrowHead,Earthquakes,Symbols,Computers,Coffee,InlineSkate,Wine,ScreenType,MoteStrain,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,SmallKitchenAppliances,TwoLeadECG,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,FaceFour,WordsSynonyms
Adiac,ShapesAll,Car,OSULeaf,SwedishLeaf,Haptics,BirdChicken,FISH,DiatomSizeReduction,BeetleFly,RefrigerationDevices,Symbols,Herring,synthetic_control,ShapeletSim,Earthquakes,Plane,Cricket_Z,ToeSegmentation1,Cricket_X,Trace,Cricket_Y,FaceFour,Worms,SmallKitchenAppliances,MoteStrain,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,InlineSkate,TwoLeadECG,ItalyPowerDemand,ECGFiveDays,DistalPhalanxTW,LargeKitchenAppliances,FaceAll,DistalPhalanxOutlineAgeGroup,50words,ScreenType,MedicalImages,Computers,WordsSynonyms,ProximalPhalanxTW,Lighting7,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,Coffee,Wine,50words,WordsSynonyms,Meat,MedicalImages,WormsTwoClass,synthetic_control,Worms,FaceAll,Strawberry,Lighting7,OliveOil,Cricket_Y,ProximalPhalanxTW,Gun_Point,ShapesAll,MiddlePhalanxTW,DistalPhalanxTW,CBF,ProximalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,Cricket_X,Lighting2,Cricket_Z,MiddlePhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Ham,DistalPhalanxOutlineCorrect,RefrigerationDevices,Computers,InlineSkate,ScreenType,Symbols,ItalyPowerDemand,SonyAIBORobotSurfaceII,ECGFiveDays,LargeKitchenAppliances,MoteStrain,SmallKitchenAppliances,TwoLeadECG,ToeSegmentation1,ECG200,Earthquakes,SonyAIBORobotSurface,OSULeaf,Trace,ShapeletSim,Adiac,BeetleFly,BirdChicken,SwedishLeaf,DiatomSizeReduction,Car,Plane,FISH,Herring,Haptics,FaceFour
Beef,ArrowHead,Coffee,Wine,50words,WordsSynonyms,Meat,WormsTwoClass,MedicalImages,FaceAll,Strawberry,Worms,Lighting7,synthetic_control,OliveOil,Gun_Point,ShapesAll,ProximalPhalanxTW,ProximalPhalanxOutlineCorrect,CBF,MiddlePhalanxTW,Cricket_X,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,Lighting2,Cricket_Y,Cricket_Z,MiddlePhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Ham,DistalPhalanxOutlineCorrect,RefrigerationDevices,Computers,ScreenType,InlineSkate,Symbols,LargeKitchenAppliances,ItalyPowerDemand,ECGFiveDays,SmallKitchenAppliances,SonyAIBORobotSurfaceII,TwoLeadECG,MoteStrain,ECG200,SonyAIBORobotSurface,ToeSegmentation1,Trace,OSULeaf,Earthquakes,ShapeletSim,Adiac,BirdChicken,BeetleFly,SwedishLeaf,DiatomSizeReduction,Car,FISH,Herring,Plane,FaceFour,Haptics
BeetleFly,Adiac,FISH,SwedishLeaf,OSULeaf,Trace,RefrigerationDevices,DiatomSizeReduction,Cricket_X,Cricket_Z,Cricket_Y,Car,Symbols,Haptics,synthetic_control,ShapeletSim,Worms,Plane,SmallKitchenAppliances,FaceFour,ToeSegmentation1,SonyAIBORobotSurface,InlineSkate,ECG200,LargeKitchenAppliances,DistalPhalanxTW,MoteStrain,FaceAll,ScreenType,MiddlePhalanxTW,ProximalPhalanxTW,MedicalImages,SonyAIBORobotSurfaceII,TwoLeadECG,MiddlePhalanxOutlineAgeGroup,Lighting7,DistalPhalanxOutlineAgeGroup,WordsSynonyms,50words,ProximalPhalanxOutlineAgeGroup,OliveOil,CBF,ItalyPowerDemand,ECGFiveDays,Computers,Meat,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,Ham,Lighting2,ProximalPhalanxOutlineCorrect,Beef,Gun_Point,ArrowHead,Strawberry,WormsTwoClass,Coffee,Wine,ShapesAll,BirdChicken,Herring,Earthquakes
BirdChicken,Adiac,Cricket_Z,synthetic_control,Cricket_X,Worms,Trace,Car,SmallKitchenAppliances,MoteStrain,Cricket_Y,ShapeletSim,OSULeaf,SwedishLeaf,ToeSegmentation1,DiatomSizeReduction,FISH,SonyAIBORobotSurfaceII,Symbols,ECG200,SonyAIBORobotSurface,Plane,InlineSkate,TwoLeadECG,ItalyPowerDemand,ECGFiveDays,Haptics,LargeKitchenAppliances,DistalPhalanxTW,RefrigerationDevices,FaceAll,DistalPhalanxOutlineAgeGroup,Computers,ScreenType,Lighting7,ProximalPhalanxTW,FaceFour,DistalPhalanxOutlineCorrect,MiddlePhalanxTW,MedicalImages,ProximalPhalanxOutlineAgeGroup,CBF,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Ham,Lighting2,50words,WordsSynonyms,ProximalPhalanxOutlineCorrect,Gun_Point,OliveOil,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,ShapesAll,BeetleFly,Herring,Earthquakes
CBF,50words,Lighting7,MedicalImages,MiddlePhalanxOutlineAgeGroup,WordsSynonyms,ProximalPhalanxTW,Cricket_X,MiddlePhalanxTW,FaceAll,OliveOil,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,ShapesAll,Ham,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,Lighting2,Cricket_Z,Computers,ProximalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,InlineSkate,Symbols,Gun_Point,Cricket_Y,synthetic_control,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,Strawberry,SonyAIBORobotSurfaceII,Worms,MoteStrain,SmallKitchenAppliances,WormsTwoClass,TwoLeadECG,Meat,ToeSegmentation1,ECG200,Earthquakes,Beef,SonyAIBORobotSurface,OSULeaf,ArrowHead,Trace,Coffee,Wine,ShapeletSim,Adiac,BeetleFly,BirdChicken,DiatomSizeReduction,Car,Plane,FISH,Herring,FaceFour,Haptics,SwedishLeaf
Car,Adiac,ShapesAll,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Symbols,Herring,synthetic_control,BirdChicken,Cricket_Z,BeetleFly,Plane,ShapeletSim,Cricket_X,Trace,Cricket_Y,FaceFour,Worms,RefrigerationDevices,SmallKitchenAppliances,SonyAIBORobotSurface,ToeSegmentation1,Earthquakes,ECG200,InlineSkate,TwoLeadECG,MoteStrain,LargeKitchenAppliances,DistalPhalanxTW,FaceAll,SonyAIBORobotSurfaceII,ScreenType,ECGFiveDays,ItalyPowerDemand,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,MedicalImages,Lighting7,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,WordsSynonyms,50words,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,Haptics
Coffee,Wine,Beef,ArrowHead,50words,MedicalImages,WordsSynonyms,Meat,synthetic_control,WormsTwoClass,Worms,Cricket_Y,FaceAll,Lighting7,Strawberry,DistalPhalanxTW,MiddlePhalanxTW,ProximalPhalanxTW,CBF,OliveOil,Gun_Point,ProximalPhalanxOutlineAgeGroup,ShapesAll,ProximalPhalanxOutlineCorrect,Cricket_Z,Lighting2,Cricket_X,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,RefrigerationDevices,DistalPhalanxOutlineCorrect,Ham,SonyAIBORobotSurfaceII,Earthquakes,Symbols,Computers,InlineSkate,MoteStrain,ItalyPowerDemand,ScreenType,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,SmallKitchenAppliances,TwoLeadECG,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,FaceFour
Computers,FaceAll,DistalPhalanxTW,Symbols,ProximalPhalanxOutlineAgeGroup,CBF,Earthquakes,ShapesAll,DistalPhalanxOutlineAgeGroup,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxTW,InlineSkate,MoteStrain,Lighting7,DistalPhalanxOutlineCorrect,ProximalPhalanxTW,Cricket_X,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,Cricket_Y,Ham,ItalyPowerDemand,Cricket_Z,ECGFiveDays,Lighting2,50words,synthetic_control,WordsSynonyms,ToeSegmentation1,ProximalPhalanxOutlineCorrect,Worms,Gun_Point,OliveOil,TwoLeadECG,ECG200,Strawberry,OSULeaf,SonyAIBORobotSurface,WormsTwoClass,Trace,Meat,ShapeletSim,BeetleFly,BirdChicken,Beef,ArrowHead,Coffee,Wine,Adiac,Plane,SwedishLeaf,Car,DiatomSizeReduction,FISH,Haptics,Herring,FaceFour,ScreenType,LargeKitchenAppliances,RefrigerationDevices,SmallKitchenAppliances
