,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,Phoneme,ShapesAll,FaceAll,InsectWingbeatSound,FacesUCR,MedicalImages,Cricket_X,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,MiddlePhalanxTW,InlineSkate,uWaveGestureLibrary_Y,MALLAT,Adiac,ProximalPhalanxTW,UWaveGestureLibraryAll,DistalPhalanxTW,uWaveGestureLibrary_Z,Beef,ECG5000,synthetic_control,ChlorineConcentration,Worms,MiddlePhalanxOutlineAgeGroup,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,OliveOil,ScreenType,Two_Patterns,ProximalPhalanxOutlineAgeGroup,CBF,LargeKitchenAppliances,ArrowHead,Symbols,Meat,Ham,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,SmallKitchenAppliances,Trace,RefrigerationDevices,Computers,Lighting2,PhalangesOutlinesCorrect,ECGFiveDays,ItalyPowerDemand,Coffee,ProximalPhalanxOutlineCorrect,Wine,SonyAIBORobotSurfaceII,FordA,WormsTwoClass,HandOutlines,SwedishLeaf,Strawberry,MoteStrain,Gun_Point,ToeSegmentation1,OSULeaf,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,wafer,Earthquakes,ShapeletSim,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring,FaceFour,WordsSynonyms
Adiac,ShapesAll,NonInvasiveFatalECG_Thorax2,Phoneme,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,SwedishLeaf,Plane,uWaveGestureLibrary_Z,Cricket_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,Trace,uWaveGestureLibrary_X,InlineSkate,synthetic_control,FaceFour,Symbols,FISH,OSULeaf,Two_Patterns,Worms,InsectWingbeatSound,SmallKitchenAppliances,FaceAll,SonyAIBORobotSurface,CinC_ECG_torso,ECG200,DistalPhalanxTW,FordB,TwoLeadECG,yoga,FacesUCR,DiatomSizeReduction,LargeKitchenAppliances,ShapeletSim,ToeSegmentation2,ToeSegmentation1,BeetleFly,MoteStrain,FordA,BirdChicken,SonyAIBORobotSurfaceII,MedicalImages,Car,ScreenType,ECGFiveDays,ItalyPowerDemand,Herring,RefrigerationDevices,ECG5000,wafer,50words,MiddlePhalanxTW,ProximalPhalanxTW,Earthquakes,Lighting7,DistalPhalanxOutlineAgeGroup,WordsSynonyms,Computers,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,Haptics,MiddlePhalanxOutlineCorrect,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ArrowHead,50words,WordsSynonyms,Phoneme,FaceAll,ShapesAll,MALLAT,FacesUCR,MedicalImages,InsectWingbeatSound,Cricket_X,Lighting7,ProximalPhalanxTW,OliveOil,MiddlePhalanxTW,Cricket_Y,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Cricket_Z,DistalPhalanxTW,UWaveGestureLibraryAll,InlineSkate,uWaveGestureLibrary_Z,ECG5000,Meat,Worms,CBF,ProximalPhalanxOutlineAgeGroup,Strawberry,CinC_ECG_torso,ChlorineConcentration,synthetic_control,Gun_Point,MiddlePhalanxOutlineAgeGroup,WormsTwoClass,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Adiac,Lighting2,MiddlePhalanxOutlineCorrect,ScreenType,Ham,HandOutlines,Beef,wafer,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Two_Patterns,Symbols,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,Trace,FordA,MoteStrain,Earthquakes,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,SwedishLeaf,Coffee,Wine,ShapeletSim,yoga,Car,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring,FaceFour
Beef,50words,WordsSynonyms,Phoneme,FaceAll,ShapesAll,MALLAT,FacesUCR,MedicalImages,InsectWingbeatSound,Cricket_X,Lighting7,ProximalPhalanxTW,MiddlePhalanxTW,OliveOil,Cricket_Y,uWaveGestureLibrary_Y,Cricket_Z,uWaveGestureLibrary_X,DistalPhalanxTW,UWaveGestureLibraryAll,InlineSkate,uWaveGestureLibrary_Z,Worms,CBF,ProximalPhalanxOutlineAgeGroup,ECG5000,ChlorineConcentration,CinC_ECG_torso,Strawberry,Meat,Gun_Point,MiddlePhalanxOutlineAgeGroup,synthetic_control,DistalPhalanxOutlineAgeGroup,WormsTwoClass,ProximalPhalanxOutlineCorrect,HandOutlines,Adiac,PhalangesOutlinesCorrect,Lighting2,ScreenType,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Two_Patterns,Symbols,wafer,RefrigerationDevices,Computers,SonyAIBORobotSurfaceII,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,ArrowHead,Trace,FordA,MoteStrain,Earthquakes,ToeSegmentation1,TwoLeadECG,FordB,ECG200,SonyAIBORobotSurface,ToeSegmentation2,OSULeaf,SwedishLeaf,Wine,ShapeletSim,Coffee,yoga,Car,BirdChicken,BeetleFly,DiatomSizeReduction,Plane,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring,FaceFour
BeetleFly,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Y,Cricket_Z,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,InlineSkate,uWaveGestureLibrary_X,InsectWingbeatSound,50words,Plane,uWaveGestureLibrary_Y,FaceAll,Two_Patterns,OSULeaf,Symbols,synthetic_control,DistalPhalanxTW,WordsSynonyms,Worms,FISH,MedicalImages,CinC_ECG_torso,Trace,Car,SmallKitchenAppliances,LargeKitchenAppliances,FaceFour,DiatomSizeReduction,FordB,TwoLeadECG,SonyAIBORobotSurface,ECG200,FacesUCR,MiddlePhalanxTW,FordA,ToeSegmentation2,ProximalPhalanxTW,yoga,Lighting7,ScreenType,ToeSegmentation1,ShapeletSim,ECGFiveDays,ItalyPowerDemand,ECG5000,RefrigerationDevices,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,MoteStrain,Computers,MiddlePhalanxOutlineAgeGroup,wafer,MALLAT,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,CBF,Ham,Haptics,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,ShapesAll,WormsTwoClass,Beef,ArrowHead,Coffee,Wine,HandOutlines,BirdChicken,Earthquakes,Herring
BirdChicken,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Y,SwedishLeaf,Cricket_Z,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,InlineSkate,InsectWingbeatSound,uWaveGestureLibrary_X,50words,Plane,OSULeaf,Two_Patterns,uWaveGestureLibrary_Y,Symbols,FaceAll,FISH,synthetic_control,DistalPhalanxTW,WordsSynonyms,Worms,Trace,MedicalImages,CinC_ECG_torso,SmallKitchenAppliances,DiatomSizeReduction,Car,LargeKitchenAppliances,FordB,FaceFour,TwoLeadECG,SonyAIBORobotSurface,ECG200,MiddlePhalanxTW,ProximalPhalanxTW,Lighting7,FacesUCR,FordA,ScreenType,ToeSegmentation2,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,yoga,ECG5000,ShapeletSim,ToeSegmentation1,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,MoteStrain,Computers,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,MALLAT,wafer,DistalPhalanxOutlineCorrect,CBF,Ham,MiddlePhalanxOutlineCorrect,Haptics,Lighting2,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,WormsTwoClass,ShapesAll,Beef,ArrowHead,Coffee,Wine,HandOutlines,Herring,BeetleFly,Earthquakes
CBF,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,FacesUCR,InsectWingbeatSound,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,uWaveGestureLibrary_X,MALLAT,InlineSkate,UWaveGestureLibraryAll,Lighting7,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,DistalPhalanxTW,Adiac,ProximalPhalanxTW,MiddlePhalanxTW,CinC_ECG_torso,ECG5000,Beef,synthetic_control,Worms,LargeKitchenAppliances,ScreenType,OliveOil,DistalPhalanxOutlineAgeGroup,Meat,ChlorineConcentration,Symbols,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,SmallKitchenAppliances,Trace,PhalangesOutlinesCorrect,ECGFiveDays,RefrigerationDevices,WormsTwoClass,FordA,Computers,Lighting2,ProximalPhalanxOutlineCorrect,ItalyPowerDemand,ArrowHead,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Strawberry,Gun_Point,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,ToeSegmentation1,MoteStrain,SonyAIBORobotSurface,ECG200,OSULeaf,ToeSegmentation2,Coffee,wafer,Wine,HandOutlines,ShapeletSim,Earthquakes,Car,yoga,DiatomSizeReduction,BirdChicken,BeetleFly,Plane,NonInvasiveFatalECG_Thorax2,FISH,NonInvasiveFatalECG_Thorax1,Haptics,FaceFour,Herring,Two_Patterns,SwedishLeaf
Car,ShapesAll,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Adiac,Cricket_Z,Cricket_Y,SwedishLeaf,Plane,uWaveGestureLibrary_Z,Cricket_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Trace,InlineSkate,FISH,Symbols,synthetic_control,FaceFour,Two_Patterns,OSULeaf,Worms,InsectWingbeatSound,SmallKitchenAppliances,FaceAll,CinC_ECG_torso,DistalPhalanxTW,SonyAIBORobotSurface,ECG200,FordB,TwoLeadECG,LargeKitchenAppliances,FacesUCR,yoga,DiatomSizeReduction,ShapeletSim,BeetleFly,ToeSegmentation1,ToeSegmentation2,FordA,MoteStrain,BirdChicken,MedicalImages,SonyAIBORobotSurfaceII,Herring,ScreenType,ECGFiveDays,ItalyPowerDemand,RefrigerationDevices,ECG5000,MiddlePhalanxTW,ProximalPhalanxTW,Earthquakes,wafer,50words,DistalPhalanxOutlineAgeGroup,Lighting7,Computers,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,Haptics,Lighting2,MALLAT,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,HandOutlines
ChlorineConcentration,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,InsectWingbeatSound,FacesUCR,MALLAT,Cricket_Y,Cricket_X,uWaveGestureLibrary_X,Cricket_Z,InlineSkate,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,Lighting7,DistalPhalanxTW,MedicalImages,ProximalPhalanxTW,Adiac,OliveOil,MiddlePhalanxTW,CinC_ECG_torso,ECG5000,ScreenType,Worms,Two_Patterns,LargeKitchenAppliances,Beef,synthetic_control,Symbols,DistalPhalanxOutlineAgeGroup,CBF,ProximalPhalanxOutlineAgeGroup,Gun_Point,SmallKitchenAppliances,Meat,ECGFiveDays,Computers,Strawberry,ItalyPowerDemand,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Trace,FordA,MiddlePhalanxOutlineAgeGroup,WormsTwoClass,FordB,TwoLeadECG,MoteStrain,ArrowHead,ToeSegmentation1,ECG200,RefrigerationDevices,SonyAIBORobotSurface,Lighting2,wafer,DistalPhalanxOutlineCorrect,OSULeaf,MiddlePhalanxOutlineCorrect,ToeSegmentation2,SonyAIBORobotSurfaceII,SwedishLeaf,Coffee,Wine,Earthquakes,ShapeletSim,Ham,HandOutlines,Car,yoga,BirdChicken,DiatomSizeReduction,BeetleFly,Plane,FISH,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Haptics,Herring,FaceFour
CinC_ECG_torso,50words,ShapesAll,Phoneme,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,MedicalImages,Cricket_Y,Cricket_Z,uWaveGestureLibrary_X,Lighting7,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,MiddlePhalanxTW,FacesUCR,ProximalPhalanxTW,InlineSkate,DistalPhalanxTW,MALLAT,Adiac,synthetic_control,Trace,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,Worms,ScreenType,Two_Patterns,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,Symbols,CBF,ECG5000,SmallKitchenAppliances,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Ham,MiddlePhalanxOutlineCorrect,OliveOil,SonyAIBORobotSurfaceII,Lighting2,Computers,MoteStrain,RefrigerationDevices,PhalangesOutlinesCorrect,ItalyPowerDemand,SonyAIBORobotSurface,ECGFiveDays,ProximalPhalanxOutlineCorrect,ECG200,FordA,Beef,FordB,TwoLeadECG,ToeSegmentation1,Meat,OSULeaf,Gun_Point,Earthquakes,ShapeletSim,ToeSegmentation2,SwedishLeaf,Strawberry,WormsTwoClass,wafer,BeetleFly,yoga,BirdChicken,ArrowHead,Car,Coffee,DiatomSizeReduction,Wine,Plane,HandOutlines,FISH,NonInvasiveFatalECG_Thorax2,Haptics,NonInvasiveFatalECG_Thorax1,Herring,FaceFour
