loss,accuracy,lr
0.6516228914260864,0.6499999761581421,0.001
0.43213552236557007,0.8500000238418579,0.001
0.3281131088733673,0.8500000238418579,0.001
0.08735394477844238,0.949999988079071,0.001
0.043819524347782135,1.0,0.001
0.019081413745880127,1.0,0.001
0.013484129682183266,1.0,0.001
0.00761047750711441,1.0,0.001
0.004130843561142683,1.0,0.001
0.0026646098122000694,1.0,0.001
0.002049956703558564,1.0,0.001
0.0017341941129416227,1.0,0.001
0.0015129756648093462,1.0,0.001
0.0013135082554072142,1.0,0.001
0.0011086647864431143,1.0,0.001
0.0008958152611739933,1.0,0.001
0.0006974778370931745,1.0,0.001
0.000532495672814548,1.0,0.001
0.00040673924377188087,1.0,0.001
0.0003154389269184321,1.0,0.001
0.00024995996500365436,1.0,0.001
0.0002030181494774297,1.0,0.001
0.00016858444723766297,1.0,0.001
0.00014284244389273226,1.0,0.001
0.00012328482989687473,1.0,0.001
0.00010808277875185013,1.0,0.001
9.612228313926607e-05,1.0,0.001
8.661687752464786e-05,1.0,0.001
7.89468758739531e-05,1.0,0.001
7.273093797266483e-05,1.0,0.001
6.762940029148012e-05,1.0,0.001
6.338601087918505e-05,1.0,0.001
5.986372707411647e-05,1.0,0.001
5.689569661626592e-05,1.0,0.001
5.436866922536865e-05,1.0,0.00020000001
5.391570812207647e-05,1.0,0.00020000001
5.3474668675335124e-05,1.0,0.00020000001
5.309919288265519e-05,1.0,0.00020000001
5.272370617603883e-05,1.0,0.00020000001
5.2372073696460575e-05,1.0,0.00020000001
5.2050239901291206e-05,1.0,0.00020000001
5.174032412469387e-05,1.0,0.00020000001
5.143040471011773e-05,1.0,0.00020000001
5.1156246627215296e-05,1.0,0.00020000001
5.0888054829556495e-05,1.0,1e-04
5.0745013140840456e-05,1.0,1e-04
5.062581112724729e-05,1.0,1e-04
5.0494698371039703e-05,1.0,1e-04
5.0369544624118134e-05,1.0,1e-04
5.026226426707581e-05,1.0,1e-04
5.014902490074746e-05,1.0,1e-04
5.0047710828948766e-05,1.0,1e-04
4.9928512453334406e-05,1.0,1e-04
4.9821235734270886e-05,1.0,1e-04
4.9713959015207365e-05,1.0,1e-04
4.961264130542986e-05,1.0,1e-04
4.9511327233631164e-05,1.0,1e-04
4.939808422932401e-05,1.0,1e-04
4.930273280479014e-05,1.0,1e-04
4.921333311358467e-05,1.0,1e-04
4.9106060032499954e-05,1.0,1e-04
4.901069769402966e-05,1.0,1e-04
4.890938362223096e-05,1.0,1e-04
4.879615153186023e-05,1.0,1e-04
4.871866985922679e-05,1.0,1e-04
4.8605434130877256e-05,1.0,1e-04
4.851603807765059e-05,1.0,1e-04
4.844452632823959e-05,1.0,1e-04
4.834320498048328e-05,1.0,1e-04
4.824189090868458e-05,1.0,1e-04
4.8158450226765126e-05,1.0,1e-04
4.805713615496643e-05,1.0,1e-04
4.7967740101739764e-05,1.0,1e-04
4.78783440485131e-05,1.0,1e-04
4.778298534802161e-05,1.0,1e-04
4.766975325765088e-05,1.0,1e-04
4.7586312575731426e-05,1.0,1e-04
4.749691652250476e-05,1.0,1e-04
4.741347947856411e-05,1.0,1e-04
4.730620275950059e-05,1.0,1e-04
4.722872472484596e-05,1.0,1e-04
4.713336966233328e-05,1.0,1e-04
4.704993261839263e-05,1.0,1e-04
4.694861127063632e-05,1.0,1e-04
4.685921885538846e-05,1.0,1e-04
4.6763860154896975e-05,1.0,1e-04
4.667446410167031e-05,1.0,1e-04
4.657910903915763e-05,1.0,1e-04
4.648970934795216e-05,1.0,1e-04
4.641223495127633e-05,1.0,1e-04
4.629899558494799e-05,1.0,1e-04
4.622748019755818e-05,1.0,1e-04
4.612615884980187e-05,1.0,1e-04
4.603676643455401e-05,1.0,1e-04
4.592948607751168e-05,1.0,1e-04
4.5846049033571035e-05,1.0,1e-04
4.5762611989630386e-05,1.0,1e-04
4.567917494568974e-05,1.0,1e-04
4.557786087389104e-05,1.0,1e-04
4.5482498535420746e-05,1.0,1e-04
4.53990614914801e-05,1.0,1e-04
4.530370279098861e-05,1.0,1e-04
4.5214306737761945e-05,1.0,1e-04
4.513086605584249e-05,1.0,1e-04
4.5041470002615824e-05,1.0,1e-04
4.493419692153111e-05,1.0,1e-04
4.485671524889767e-05,1.0,1e-04
4.476136018638499e-05,1.0,1e-04
4.467195685720071e-05,1.0,1e-04
4.4588519813260064e-05,1.0,1e-04
4.4493161112768576e-05,1.0,1e-04
4.4397806050255895e-05,1.0,1e-04
4.432628702488728e-05,1.0,1e-04
4.4224969315109774e-05,1.0,1e-04
4.4141532271169126e-05,1.0,1e-04
4.406405059853569e-05,1.0,1e-04
4.39686918980442e-05,1.0,1e-04
4.387929948279634e-05,1.0,1e-04
4.3772015487775207e-05,1.0,1e-04
4.368857844383456e-05,1.0,1e-04
4.360514139989391e-05,1.0,1e-04
4.3503823690116405e-05,1.0,1e-04
4.3426342017482966e-05,1.0,1e-04
4.334290133556351e-05,1.0,1e-04
4.324754627305083e-05,1.0,1e-04
4.3164105591131374e-05,1.0,1e-04
4.3080668547190726e-05,1.0,1e-04
4.2985313484678045e-05,1.0,1e-04
4.2907831812044606e-05,1.0,1e-04
4.2830353777389973e-05,1.0,1e-04
4.272903242963366e-05,1.0,1e-04
4.264559902367182e-05,1.0,1e-04
4.2562158341752365e-05,1.0,1e-04
4.246679600328207e-05,1.0,1e-04
4.238931433064863e-05,1.0,1e-04
4.230587728670798e-05,1.0,1e-04
4.2198596929665655e-05,1.0,1e-04
4.2127081542275846e-05,1.0,1e-04
4.20436444983352e-05,1.0,1e-04
4.1942323150578886e-05,1.0,1e-04
4.186484875390306e-05,1.0,1e-04
4.176352376816794e-05,1.0,1e-04
4.168604573351331e-05,1.0,1e-04
4.1614526708144695e-05,1.0,1e-04
4.152512701693922e-05,1.0,1e-04
4.143572732573375e-05,1.0,1e-04
4.135824929107912e-05,1.0,1e-04
4.1250965296057984e-05,1.0,1e-04
4.1167528252117336e-05,1.0,1e-04
4.1101968236034736e-05,1.0,1e-04
4.100065052625723e-05,1.0,1e-04
4.0929131500888616e-05,1.0,1e-04
4.083377280039713e-05,1.0,1e-04
4.0762250137049705e-05,1.0,1e-04
4.0678813093109056e-05,1.0,1e-04
4.0595368773210794e-05,1.0,1e-04
4.0511931729270145e-05,1.0,1e-04
4.043445369461551e-05,1.0,1e-04
4.0333128708880395e-05,1.0,1e-04
4.02675723307766e-05,1.0,1e-04
4.019009429612197e-05,1.0,1e-04
4.010069096693769e-05,1.0,1e-04
4.001725392299704e-05,1.0,1e-04
3.994573125964962e-05,1.0,1e-04
3.986229421570897e-05,1.0,1e-04
3.9790775190340355e-05,1.0,1e-04
3.970733087044209e-05,1.0,1e-04
3.962389746448025e-05,1.0,1e-04
3.9540456782560796e-05,1.0,1e-04
3.946297147194855e-05,1.0,1e-04
3.938549343729392e-05,1.0,1e-04
3.930205639335327e-05,1.0,1e-04
3.922457472071983e-05,1.0,1e-04
3.914709304808639e-05,1.0,1e-04
3.906365600414574e-05,1.0,1e-04
3.8980215322226286e-05,1.0,1e-04
3.890869265887886e-05,1.0,1e-04
3.883121462422423e-05,1.0,1e-04
3.874181493301876e-05,1.0,1e-04
3.8670292269671336e-05,1.0,1e-04
3.859877324430272e-05,1.0,1e-04
3.850936991511844e-05,1.0,1e-04
