loss,accuracy,lr
0.9760793447494507,0.52173912525177,0.001
0.4846045970916748,0.8695651888847351,0.001
0.2742707133293152,0.9130434989929199,0.001
0.08735492080450058,1.0,0.001
0.026621373370289803,1.0,0.001
0.010660777799785137,1.0,0.001
0.004756378475576639,1.0,0.001
0.002214274136349559,1.0,0.001
0.0012943776091560721,1.0,0.001
0.0009457373525947332,1.0,0.001
0.0007688649347983301,1.0,0.001
0.000635864504147321,1.0,0.001
0.0005160493892617524,1.0,0.001
0.0004162436234764755,1.0,0.001
0.00033853802597150207,1.0,0.001
0.00028010382084175944,1.0,0.001
0.00023763532226439565,1.0,0.001
0.0002065407607005909,1.0,0.001
0.00018397065286990255,1.0,0.001
0.00016738439444452524,1.0,0.001
0.0001549862208776176,1.0,0.001
0.0001450367271900177,1.0,0.001
0.000136396789457649,1.0,0.001
0.0001285279868170619,1.0,0.001
0.00012092295219190419,1.0,0.001
0.00011354023445164785,1.0,0.001
0.00010633331839926541,1.0,0.001
9.932816465152428e-05,1.0,0.001
9.275798947783187e-05,1.0,0.001
8.67005655891262e-05,1.0,0.001
8.120263373712078e-05,1.0,0.001
7.627977174706757e-05,1.0,0.001
7.189060124801472e-05,1.0,0.001
6.798849790357053e-05,1.0,0.00020000001
6.72785536153242e-05,1.0,0.00020000001
6.659969949396327e-05,1.0,0.00020000001
6.593639409402385e-05,1.0,0.00020000001
6.529380334541202e-05,1.0,0.00020000001
6.469269283115864e-05,1.0,0.00020000001
6.409156776499003e-05,1.0,0.00020000001
6.350599869620055e-05,1.0,0.00020000001
6.295151251833886e-05,1.0,0.00020000001
6.240740913199261e-05,1.0,0.00020000001
6.188401312101632e-05,1.0,1e-04
6.163009675219655e-05,1.0,1e-04
6.138135358924046e-05,1.0,1e-04
6.11326249781996e-05,1.0,1e-04
6.0873520851600915e-05,1.0,1e-04
6.064033732400276e-05,1.0,1e-04
6.040715015842579e-05,1.0,1e-04
6.016877159709111e-05,1.0,1e-04
5.992522346787155e-05,1.0,1e-04
5.9707581385737285e-05,1.0,1e-04
5.947957470198162e-05,1.0,1e-04
5.9256755776004866e-05,1.0,1e-04
5.902356133447029e-05,1.0,1e-04
5.881110701011494e-05,1.0,1e-04
5.859346129000187e-05,1.0,1e-04
5.836027776240371e-05,1.0,1e-04
5.815818076371215e-05,1.0,1e-04
5.79353618377354e-05,1.0,1e-04
5.773326483904384e-05,1.0,1e-04
5.7505258155288175e-05,1.0,1e-04
5.729798067477532e-05,1.0,1e-04
5.7101067795883864e-05,1.0,1e-04
5.688860983354971e-05,1.0,1e-04
5.668133599101566e-05,1.0,1e-04
5.64792389923241e-05,1.0,1e-04
5.626678102998994e-05,1.0,1e-04
5.606467675534077e-05,1.0,1e-04
5.5867767514428124e-05,1.0,1e-04
5.5676038755336776e-05,1.0,1e-04
5.546358079300262e-05,1.0,1e-04
5.526666063815355e-05,1.0,1e-04
5.506975139724091e-05,1.0,1e-04
5.4878026276128367e-05,1.0,1e-04
5.4686290241079405e-05,1.0,1e-04
5.449455784400925e-05,1.0,1e-04
5.431837780633941e-05,1.0,1e-04
5.410073572420515e-05,1.0,1e-04
5.390899968915619e-05,1.0,1e-04
5.3727635531686246e-05,1.0,1e-04
5.354626409825869e-05,1.0,1e-04
5.335453533916734e-05,1.0,1e-04
5.3173163905739784e-05,1.0,1e-04
5.298143150866963e-05,1.0,1e-04
5.280006371322088e-05,1.0,1e-04
5.260832767817192e-05,1.0,1e-04
5.242695624474436e-05,1.0,1e-04
5.224040796747431e-05,1.0,1e-04
5.206422065384686e-05,1.0,1e-04
5.187249189475551e-05,1.0,1e-04
5.170666554477066e-05,1.0,1e-04
5.15252941113431e-05,1.0,1e-04
5.133355807629414e-05,1.0,1e-04
5.115736712468788e-05,1.0,1e-04
5.0991540774703026e-05,1.0,1e-04
5.080498885945417e-05,1.0,1e-04
5.063917342340574e-05,1.0,1e-04
5.046297883382067e-05,1.0,1e-04
5.029715975979343e-05,1.0,1e-04
5.0105416448786855e-05,1.0,1e-04
4.9944774218602106e-05,1.0,1e-04
4.976858326699585e-05,1.0,1e-04
4.96027605549898e-05,1.0,1e-04
4.9442114686826244e-05,1.0,1e-04
4.926074325339869e-05,1.0,1e-04
4.9105285143014044e-05,1.0,1e-04
4.8934274673229083e-05,1.0,1e-04
4.8773632443044335e-05,1.0,1e-04
4.8607798817101866e-05,1.0,1e-04
4.844715658691712e-05,1.0,1e-04
4.828651435673237e-05,1.0,1e-04
4.8125864850590006e-05,1.0,1e-04
4.7960045776562765e-05,1.0,1e-04
4.7794215788599104e-05,1.0,1e-04
4.7638750402256846e-05,1.0,1e-04
4.7483288653893396e-05,1.0,1e-04
4.732264278572984e-05,1.0,1e-04
4.716199327958748e-05,1.0,1e-04
4.7001354687381536e-05,1.0,1e-04
4.684588930103928e-05,1.0,1e-04
4.6669691073475406e-05,1.0,1e-04
4.6519409806933254e-05,1.0,1e-04
4.63587639387697e-05,1.0,1e-04
4.6208486310206354e-05,1.0,1e-04
4.604265632224269e-05,1.0,1e-04
4.590273238136433e-05,1.0,1e-04
4.57628229924012e-05,1.0,1e-04
4.5591801608679816e-05,1.0,1e-04
4.544670446193777e-05,1.0,1e-04
4.529642319539562e-05,1.0,1e-04
4.5151322410674766e-05,1.0,1e-04
4.5001041144132614e-05,1.0,1e-04
4.485075260163285e-05,1.0,1e-04
4.47004713350907e-05,1.0,1e-04
4.456055467016995e-05,1.0,1e-04
4.441026976564899e-05,1.0,1e-04
4.425479710334912e-05,1.0,1e-04
4.412006455822848e-05,1.0,1e-04
4.397496741148643e-05,1.0,1e-04
4.382986298878677e-05,1.0,1e-04
4.369513044366613e-05,1.0,1e-04
4.3555210140766576e-05,1.0,1e-04
4.3415286199888214e-05,1.0,1e-04
4.327536589698866e-05,1.0,1e-04
4.312508463044651e-05,1.0,1e-04
4.299552529118955e-05,1.0,1e-04
4.2855608626268804e-05,1.0,1e-04
4.270532008376904e-05,1.0,1e-04
4.25861326220911e-05,1.0,1e-04
4.2451392801012844e-05,1.0,1e-04
4.2316656617913395e-05,1.0,1e-04
4.2176729039056227e-05,1.0,1e-04
4.2047173337778077e-05,1.0,1e-04
4.191243715467863e-05,1.0,1e-04
4.177769733360037e-05,1.0,1e-04
4.164295387454331e-05,1.0,1e-04
4.151858956902288e-05,1.0,1e-04
4.137866199016571e-05,1.0,1e-04
4.126465501030907e-05,1.0,1e-04
