,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61
50words,Meat,FaceAll,MedicalImages,WormsTwoClass,Worms,ProximalPhalanxTW,MiddlePhalanxTW,synthetic_control,ArrowHead,Strawberry,Lighting7,Beef,Wine,CBF,OliveOil,Cricket_Z,ShapesAll,ProximalPhalanxOutlineCorrect,Cricket_Y,Cricket_X,DistalPhalanxTW,Coffee,Lighting2,Gun_Point,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,WordsSynonyms,DistalPhalanxOutlineAgeGroup,Adiac,RefrigerationDevices,Ham,DistalPhalanxOutlineCorrect,InlineSkate,Symbols,ScreenType,SwedishLeaf,SonyAIBORobotSurfaceII,LargeKitchenAppliances,Computers,Earthquakes,Trace,SmallKitchenAppliances,MoteStrain,OSULeaf,ItalyPowerDemand,ECGFiveDays,Plane,Haptics,ToeSegmentation1,TwoLeadECG,FISH,ECG200,SonyAIBORobotSurface,Car,DiatomSizeReduction,ShapeletSim,FaceFour,BirdChicken,BeetleFly,Herring
Adiac,ShapesAll,Car,OSULeaf,Cricket_Z,Haptics,SwedishLeaf,FISH,BirdChicken,BeetleFly,DiatomSizeReduction,ToeSegmentation1,Plane,Symbols,synthetic_control,RefrigerationDevices,Herring,Cricket_Y,Cricket_X,ShapeletSim,50words,Trace,WordsSynonyms,InlineSkate,FaceAll,Worms,FaceFour,Earthquakes,SmallKitchenAppliances,MedicalImages,DistalPhalanxTW,MoteStrain,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,LargeKitchenAppliances,ECG200,SonyAIBORobotSurface,TwoLeadECG,ScreenType,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,Ham,OliveOil,MiddlePhalanxOutlineCorrect,Beef,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
ArrowHead,Wine,Beef,Coffee,50words,WordsSynonyms,MedicalImages,Meat,Worms,FaceAll,synthetic_control,WormsTwoClass,Cricket_Y,Lighting7,Strawberry,ShapesAll,OliveOil,MiddlePhalanxTW,DistalPhalanxTW,ProximalPhalanxTW,Gun_Point,CBF,Cricket_X,Adiac,Cricket_Z,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,InlineSkate,Lighting2,MiddlePhalanxOutlineAgeGroup,SwedishLeaf,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Symbols,Ham,RefrigerationDevices,ScreenType,DistalPhalanxOutlineCorrect,Trace,LargeKitchenAppliances,OSULeaf,Plane,SmallKitchenAppliances,SonyAIBORobotSurfaceII,Computers,FISH,ItalyPowerDemand,ECGFiveDays,MoteStrain,Car,Earthquakes,DiatomSizeReduction,ToeSegmentation1,TwoLeadECG,ECG200,SonyAIBORobotSurface,Haptics,ShapeletSim,FaceFour,BirdChicken,BeetleFly,Herring
Beef,50words,ArrowHead,Coffee,Wine,WordsSynonyms,MedicalImages,Meat,synthetic_control,FaceAll,WormsTwoClass,Cricket_Y,Worms,Lighting7,Strawberry,ShapesAll,OliveOil,MiddlePhalanxTW,DistalPhalanxTW,ProximalPhalanxTW,Gun_Point,CBF,Cricket_X,Adiac,Cricket_Z,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,InlineSkate,Lighting2,MiddlePhalanxOutlineAgeGroup,SwedishLeaf,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Symbols,Ham,RefrigerationDevices,ScreenType,DistalPhalanxOutlineCorrect,Trace,OSULeaf,LargeKitchenAppliances,Plane,SmallKitchenAppliances,SonyAIBORobotSurfaceII,Computers,FISH,ItalyPowerDemand,ECGFiveDays,MoteStrain,Car,DiatomSizeReduction,Earthquakes,Haptics,ToeSegmentation1,TwoLeadECG,ECG200,SonyAIBORobotSurface,ShapeletSim,FaceFour,BirdChicken,BeetleFly,Herring
BeetleFly,Adiac,SmallKitchenAppliances,Trace,MoteStrain,Cricket_Z,Cricket_Y,SwedishLeaf,FISH,OSULeaf,Cricket_X,ShapesAll,synthetic_control,Worms,RefrigerationDevices,DiatomSizeReduction,SonyAIBORobotSurface,Symbols,InlineSkate,ShapeletSim,ECG200,Plane,Car,TwoLeadECG,ToeSegmentation1,SonyAIBORobotSurfaceII,50words,FaceAll,DistalPhalanxTW,LargeKitchenAppliances,WordsSynonyms,ItalyPowerDemand,ECGFiveDays,Haptics,FaceFour,MedicalImages,MiddlePhalanxTW,ScreenType,ProximalPhalanxTW,Lighting7,DistalPhalanxOutlineAgeGroup,BirdChicken,Computers,Earthquakes,Herring,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,OliveOil,Beef,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
BirdChicken,Cricket_Z,Haptics,synthetic_control,Adiac,Cricket_X,Worms,Trace,SmallKitchenAppliances,Cricket_Y,MoteStrain,SwedishLeaf,ShapesAll,Car,OSULeaf,ShapeletSim,SonyAIBORobotSurface,ECG200,DiatomSizeReduction,Plane,InlineSkate,Symbols,ToeSegmentation1,SonyAIBORobotSurfaceII,FISH,TwoLeadECG,50words,FaceAll,WordsSynonyms,DistalPhalanxTW,MedicalImages,RefrigerationDevices,LargeKitchenAppliances,FaceFour,ItalyPowerDemand,ECGFiveDays,MiddlePhalanxTW,Lighting7,ProximalPhalanxTW,ScreenType,DistalPhalanxOutlineAgeGroup,Earthquakes,BeetleFly,Computers,Herring,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,OliveOil,Beef,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
CBF,FaceAll,50words,ProximalPhalanxTW,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,OliveOil,MedicalImages,DistalPhalanxTW,synthetic_control,Lighting7,WordsSynonyms,ProximalPhalanxOutlineAgeGroup,Cricket_X,MiddlePhalanxTW,Symbols,ShapesAll,Gun_Point,Earthquakes,Computers,RefrigerationDevices,MiddlePhalanxOutlineCorrect,Ham,SonyAIBORobotSurfaceII,Lighting2,DistalPhalanxOutlineCorrect,Cricket_Z,ProximalPhalanxOutlineCorrect,InlineSkate,SwedishLeaf,Worms,Adiac,Cricket_Y,MoteStrain,ScreenType,Strawberry,ItalyPowerDemand,LargeKitchenAppliances,ECGFiveDays,Haptics,Beef,Plane,OSULeaf,Meat,WormsTwoClass,Trace,SmallKitchenAppliances,FISH,ToeSegmentation1,Car,ArrowHead,DiatomSizeReduction,FaceFour,TwoLeadECG,ECG200,SonyAIBORobotSurface,Coffee,ShapeletSim,Wine,BirdChicken,BeetleFly,Herring
Car,Adiac,ShapesAll,OSULeaf,DiatomSizeReduction,SwedishLeaf,Haptics,BirdChicken,FISH,50words,Cricket_Z,Cricket_Y,synthetic_control,Cricket_X,Plane,Symbols,WordsSynonyms,FaceAll,InlineSkate,BeetleFly,Trace,MedicalImages,RefrigerationDevices,FaceFour,DistalPhalanxTW,Worms,ShapeletSim,Herring,SmallKitchenAppliances,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,LargeKitchenAppliances,ToeSegmentation1,ScreenType,Earthquakes,SonyAIBORobotSurface,TwoLeadECG,ECG200,MoteStrain,DistalPhalanxOutlineAgeGroup,ECGFiveDays,ItalyPowerDemand,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,OliveOil,Beef,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
Coffee,Beef,ArrowHead,Wine,50words,WordsSynonyms,MedicalImages,Meat,FaceAll,synthetic_control,WormsTwoClass,Worms,Cricket_Y,Lighting7,ShapesAll,Strawberry,OliveOil,MiddlePhalanxTW,DistalPhalanxTW,ProximalPhalanxTW,Gun_Point,CBF,Cricket_X,Adiac,Cricket_Z,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,InlineSkate,Lighting2,MiddlePhalanxOutlineAgeGroup,SwedishLeaf,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Symbols,Ham,RefrigerationDevices,ScreenType,DistalPhalanxOutlineCorrect,Trace,OSULeaf,LargeKitchenAppliances,Plane,SmallKitchenAppliances,SonyAIBORobotSurfaceII,Computers,FISH,ItalyPowerDemand,ECGFiveDays,MoteStrain,Car,DiatomSizeReduction,Earthquakes,ToeSegmentation1,TwoLeadECG,ECG200,Haptics,SonyAIBORobotSurface,ShapeletSim,FaceFour,BirdChicken,BeetleFly,Herring
Computers,DistalPhalanxTW,InlineSkate,FaceAll,DistalPhalanxOutlineAgeGroup,Symbols,ProximalPhalanxOutlineAgeGroup,ToeSegmentation1,Cricket_Y,CBF,ShapesAll,Cricket_X,Earthquakes,MedicalImages,ECGFiveDays,MiddlePhalanxTW,ProximalPhalanxTW,Lighting7,ItalyPowerDemand,MiddlePhalanxOutlineAgeGroup,MoteStrain,50words,DistalPhalanxOutlineCorrect,Cricket_Z,WordsSynonyms,Ham,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,Adiac,Lighting2,synthetic_control,Worms,RefrigerationDevices,TwoLeadECG,LargeKitchenAppliances,ScreenType,SmallKitchenAppliances,ProximalPhalanxOutlineCorrect,SwedishLeaf,OliveOil,ECG200,OSULeaf,Haptics,SonyAIBORobotSurface,Trace,Beef,Gun_Point,Plane,FISH,Meat,Strawberry,Car,ArrowHead,DiatomSizeReduction,WormsTwoClass,FaceFour,ShapeletSim,Coffee,Wine,BirdChicken,BeetleFly,Herring
