,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61
50words,FaceAll,OliveOil,Gun_Point,ProximalPhalanxTW,ShapesAll,Lighting7,MedicalImages,Strawberry,Meat,ProximalPhalanxOutlineCorrect,Worms,ProximalPhalanxOutlineAgeGroup,Cricket_X,CBF,MiddlePhalanxTW,Cricket_Z,Lighting2,DistalPhalanxTW,WormsTwoClass,synthetic_control,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Cricket_Y,RefrigerationDevices,Ham,DistalPhalanxOutlineCorrect,Beef,SonyAIBORobotSurfaceII,ArrowHead,Earthquakes,Symbols,Computers,Coffee,Wine,InlineSkate,MoteStrain,ScreenType,ItalyPowerDemand,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,SmallKitchenAppliances,TwoLeadECG,ECG200,OSULeaf,SonyAIBORobotSurface,Trace,ShapeletSim,BeetleFly,BirdChicken,Adiac,Plane,SwedishLeaf,DiatomSizeReduction,Car,Haptics,FISH,Herring,FaceFour,WordsSynonyms
Adiac,ShapesAll,Car,OSULeaf,SwedishLeaf,Haptics,FISH,DiatomSizeReduction,BirdChicken,BeetleFly,RefrigerationDevices,Symbols,Herring,synthetic_control,ShapeletSim,Earthquakes,Plane,Cricket_Z,ToeSegmentation1,Cricket_X,Trace,Cricket_Y,FaceFour,Worms,SmallKitchenAppliances,MoteStrain,SonyAIBORobotSurfaceII,ECG200,SonyAIBORobotSurface,InlineSkate,TwoLeadECG,ItalyPowerDemand,ECGFiveDays,DistalPhalanxTW,LargeKitchenAppliances,FaceAll,MedicalImages,DistalPhalanxOutlineAgeGroup,50words,ScreenType,Computers,WordsSynonyms,ProximalPhalanxTW,Lighting7,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,CBF,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,Beef,Wine,Coffee,50words,WordsSynonyms,Meat,FaceAll,MedicalImages,WormsTwoClass,Worms,OliveOil,Lighting7,ProximalPhalanxTW,ShapesAll,Strawberry,synthetic_control,MiddlePhalanxTW,CBF,Cricket_X,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,Gun_Point,Cricket_Y,MiddlePhalanxOutlineAgeGroup,Cricket_Z,ProximalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,Lighting2,ScreenType,InlineSkate,MiddlePhalanxOutlineCorrect,Ham,LargeKitchenAppliances,DistalPhalanxOutlineCorrect,Symbols,RefrigerationDevices,Computers,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,TwoLeadECG,MoteStrain,Trace,ECG200,SonyAIBORobotSurface,ToeSegmentation1,OSULeaf,Adiac,Earthquakes,SwedishLeaf,DiatomSizeReduction,Car,ShapeletSim,FISH,BirdChicken,BeetleFly,Plane,FaceFour,Herring,Haptics
Beef,ArrowHead,Coffee,Wine,50words,WordsSynonyms,Meat,FaceAll,WormsTwoClass,MedicalImages,OliveOil,Strawberry,Lighting7,Worms,ShapesAll,ProximalPhalanxTW,Gun_Point,Cricket_X,synthetic_control,MiddlePhalanxTW,CBF,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,Cricket_Z,Cricket_Y,DistalPhalanxOutlineAgeGroup,Lighting2,MiddlePhalanxOutlineCorrect,ScreenType,Ham,InlineSkate,DistalPhalanxOutlineCorrect,LargeKitchenAppliances,Symbols,RefrigerationDevices,Computers,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,TwoLeadECG,SonyAIBORobotSurfaceII,Trace,SonyAIBORobotSurface,ECG200,MoteStrain,ToeSegmentation1,OSULeaf,Adiac,SwedishLeaf,Car,DiatomSizeReduction,Earthquakes,ShapeletSim,FISH,BirdChicken,BeetleFly,Plane,FaceFour,Herring,Haptics
BeetleFly,Adiac,SwedishLeaf,FISH,Trace,Cricket_Z,Cricket_X,OSULeaf,DiatomSizeReduction,Cricket_Y,Symbols,Car,synthetic_control,Plane,ShapeletSim,Worms,RefrigerationDevices,SmallKitchenAppliances,FaceFour,InlineSkate,DistalPhalanxTW,FaceAll,SonyAIBORobotSurface,ToeSegmentation1,ECG200,MedicalImages,MiddlePhalanxTW,MoteStrain,LargeKitchenAppliances,ProximalPhalanxTW,Lighting7,WordsSynonyms,TwoLeadECG,50words,SonyAIBORobotSurfaceII,ScreenType,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,ECGFiveDays,ItalyPowerDemand,OliveOil,ProximalPhalanxOutlineAgeGroup,CBF,Computers,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Beef,Lighting2,ProximalPhalanxOutlineCorrect,Meat,Gun_Point,Strawberry,ArrowHead,WormsTwoClass,Coffee,Wine,Haptics,ShapesAll,BirdChicken,Herring,Earthquakes
BirdChicken,Adiac,Cricket_X,Cricket_Z,Car,Trace,synthetic_control,Cricket_Y,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Worms,Symbols,SmallKitchenAppliances,ShapeletSim,Plane,InlineSkate,ToeSegmentation1,SonyAIBORobotSurface,ECG200,LargeKitchenAppliances,DistalPhalanxTW,MoteStrain,FaceAll,RefrigerationDevices,ScreenType,DistalPhalanxOutlineAgeGroup,TwoLeadECG,SonyAIBORobotSurfaceII,ProximalPhalanxTW,MiddlePhalanxTW,MedicalImages,Lighting7,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,CBF,ECGFiveDays,FaceFour,50words,WordsSynonyms,ItalyPowerDemand,Computers,OliveOil,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Lighting2,Meat,ProximalPhalanxOutlineCorrect,Gun_Point,Beef,Strawberry,ArrowHead,WormsTwoClass,Coffee,Wine,Haptics,ShapesAll,BeetleFly,Herring,Earthquakes
CBF,50words,MedicalImages,Lighting7,WordsSynonyms,MiddlePhalanxTW,Cricket_X,ProximalPhalanxTW,MiddlePhalanxOutlineAgeGroup,FaceAll,ShapesAll,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,OliveOil,Cricket_Z,Ham,ScreenType,MiddlePhalanxOutlineCorrect,Lighting2,InlineSkate,ProximalPhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,Cricket_Y,Gun_Point,LargeKitchenAppliances,Symbols,Computers,Strawberry,RefrigerationDevices,synthetic_control,Worms,ItalyPowerDemand,ECGFiveDays,SmallKitchenAppliances,WormsTwoClass,Meat,SonyAIBORobotSurfaceII,Beef,TwoLeadECG,MoteStrain,ECG200,Trace,ArrowHead,SonyAIBORobotSurface,ToeSegmentation1,Coffee,Wine,OSULeaf,Adiac,Earthquakes,ShapeletSim,DiatomSizeReduction,Car,BirdChicken,FISH,BeetleFly,Plane,Herring,FaceFour,Haptics,SwedishLeaf
Car,Adiac,ShapesAll,OSULeaf,SwedishLeaf,DiatomSizeReduction,FISH,Symbols,Herring,synthetic_control,Cricket_Z,BirdChicken,Plane,BeetleFly,ShapeletSim,Cricket_X,Trace,Cricket_Y,FaceFour,Worms,RefrigerationDevices,SmallKitchenAppliances,SonyAIBORobotSurface,InlineSkate,ToeSegmentation1,ECG200,Earthquakes,LargeKitchenAppliances,DistalPhalanxTW,TwoLeadECG,FaceAll,ScreenType,MoteStrain,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,MiddlePhalanxTW,MedicalImages,SonyAIBORobotSurfaceII,Lighting7,MiddlePhalanxOutlineAgeGroup,ECGFiveDays,ItalyPowerDemand,ProximalPhalanxOutlineAgeGroup,WordsSynonyms,CBF,50words,Computers,OliveOil,DistalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Meat,Gun_Point,Strawberry,Beef,WormsTwoClass,ArrowHead,Coffee,Wine,Haptics
Coffee,Wine,Beef,ArrowHead,50words,WordsSynonyms,Meat,MedicalImages,FaceAll,WormsTwoClass,Worms,Lighting7,synthetic_control,OliveOil,Strawberry,ProximalPhalanxTW,ShapesAll,MiddlePhalanxTW,CBF,DistalPhalanxTW,Cricket_Y,Gun_Point,Cricket_X,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,Cricket_Z,DistalPhalanxOutlineAgeGroup,Lighting2,MiddlePhalanxOutlineCorrect,ScreenType,InlineSkate,Ham,DistalPhalanxOutlineCorrect,Symbols,LargeKitchenAppliances,RefrigerationDevices,Computers,SmallKitchenAppliances,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,MoteStrain,TwoLeadECG,Trace,ECG200,ToeSegmentation1,SonyAIBORobotSurface,OSULeaf,Earthquakes,Adiac,SwedishLeaf,DiatomSizeReduction,ShapeletSim,Car,BirdChicken,BeetleFly,FISH,Plane,FaceFour,Herring,Haptics
Computers,DistalPhalanxTW,FaceAll,MiddlePhalanxTW,MedicalImages,ProximalPhalanxTW,InlineSkate,ShapesAll,Lighting7,MiddlePhalanxOutlineAgeGroup,Cricket_Y,Cricket_X,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,CBF,Ham,Symbols,Cricket_Z,50words,WordsSynonyms,ItalyPowerDemand,ECGFiveDays,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,OliveOil,Worms,SonyAIBORobotSurfaceII,TwoLeadECG,synthetic_control,MoteStrain,Gun_Point,ECG200,ToeSegmentation1,Strawberry,SonyAIBORobotSurface,Meat,Trace,WormsTwoClass,Earthquakes,OSULeaf,Beef,ArrowHead,Adiac,ShapeletSim,Coffee,Wine,SwedishLeaf,BirdChicken,BeetleFly,Car,DiatomSizeReduction,FISH,Plane,Herring,FaceFour,Haptics,ScreenType,LargeKitchenAppliances,RefrigerationDevices,SmallKitchenAppliances
